spot_name,district,amenity_name,amenity_type,lat,lon
Sri Gnana Saraswathi Temple,Nirmal,"TG TSTDC Haritha Hotel & Restaurant, Basara",restaurant,18.8796,77.9566
Sri Gnana Saraswathi Temple,Nirmal,"State Bank of India (SBI) ATM, Basara",atm,18.8769,77.9544
Sri Gnana Saraswathi Temple,Nirmal,"Government Primary Health Centre, Basara",hospital,18.8801,77.9536
Vyasa Maharshi Cave,Nirmal,Sri Sai Ram Tiffin & Mess Center,restaurant,18.881,77.9552
Vyasa Maharshi Cave,Nirmal,"Telangana Grameena Bank ATM, Basara",atm,18.8783,77.953
Vyasa Maharshi Cave,Nirmal,Nirmal Area Hospital,hospital,18.8815,77.9522
Godavari River & Bathing Ghat,Nirmal,Basara Temple Annadanam Complex,restaurant,18.8785,77.9572
Godavari River & Bathing Ghat,Nirmal,"State Bank of India (SBI) ATM, Basara",atm,18.8758,77.955
Godavari River & Bathing Ghat,Nirmal,"Government Primary Health Centre, Basara",hospital,18.879,77.9542
Lord Shiva Temple,Nirmal,Hotel Sri Krishna,restaurant,18.88,77.9562
Lord Shiva Temple,Nirmal,"Telangana Grameena Bank ATM, Basara",atm,18.8773,77.954
Lord Shiva Temple,Nirmal,Nirmal Area Hospital,hospital,18.8805,77.9532
Ashok Sagar / Jankampet Lake,Nizamabad,Hotel Nikhil Sai International,restaurant,18.7505,78.0397
Ashok Sagar / Jankampet Lake,Nizamabad,State Bank of India ATM,atm,18.7478,78.0375
Ashok Sagar / Jankampet Lake,Nizamabad,Government General Hospital Nizamabad,hospital,18.751,78.0367
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,Venkateswara Grand,restaurant,18.752,78.0402
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,Telangana Grameena Bank ATM,atm,18.7493,78.038
Sri Laxmi Narshima Swamy Temple - Jankampet,Nizamabad,Pragathi Hospital,hospital,18.7525,78.0372
Ali Sagar Dam,Nizamabad,Ali Sagar Park Canteen,restaurant,18.6475,78.0189
Sri Sita Rama Temple,Bhadradri Kothagudem,Sri Venkateswara Hotel & Dining,restaurant,17.6705,80.8888
Sri Sita Rama Temple,Bhadradri Kothagudem,Telangana Grameena Bank ATM,atm,17.6678,80.8866
Sri Sita Rama Temple,Bhadradri Kothagudem,Government Area Hospital,hospital,17.671,80.8858
Godavari Ghat,Bhadradri Kothagudem,Deccan Spice Restaurant,restaurant,17.67,80.8872
Godavari Ghat,Bhadradri Kothagudem,State Bank of India (SBI) ATM,atm,17.6673,80.885
Godavari Ghat,Bhadradri Kothagudem,Government Primary Health Centre,hospital,17.6705,80.8842
Bogatha Waterfall,Mulugu,TSTDC Haritha Tourism Restaurant,restaurant,18.482683,80.500977
Kinnerasani Dam,Bhadradri Kothagudem,Sri Venkateswara Hotel & Dining,restaurant,17.6855,80.6562
Kinnerasani Wildlife Sanctuary,Bhadradri Kothagudem,Deccan Spice Restaurant,restaurant,17.6855,80.6562
Sri Abhaya Anjaneya Temple,Bhadradri Kothagudem,TSTDC Haritha Tourism Restaurant,restaurant,17.8573,80.8131
Sri Abhaya Anjaneya Temple,Bhadradri Kothagudem,State Bank of India (SBI) ATM,atm,17.8546,80.8109
Sri Abhaya Anjaneya Temple,Bhadradri Kothagudem,Government Primary Health Centre,hospital,17.8578,80.8101
Parnasala,Bhadradri Kothagudem,Sri Venkateswara Hotel & Dining,restaurant,17.9295,80.8932
Parnasala,Bhadradri Kothagudem,Telangana Grameena Bank ATM,atm,17.9268,80.891
Parnasala,Bhadradri Kothagudem,Government Area Hospital,hospital,17.93,80.8902
Thousand Pillar Temple,Hanumakonda,Mourya Hotel & Dining,restaurant,18.0048,79.5758
Thousand Pillar Temple,Hanumakonda,HDFC Bank ATM,atm,18.0021,79.5736
Thousand Pillar Temple,Hanumakonda,Jaya Hospitals,hospital,18.0053,79.5728
Warangal Fort,Warangal,TSTDC Haritha Kakatiya Hotel,restaurant,17.957,79.617
Warangal Fort,Warangal,Union Bank of India ATM,atm,17.9543,79.6148
Warangal Fort,Warangal,Rohini Hospital,hospital,17.9575,79.614
Bhadra Kali Temple,Hanumakonda,Subhedari Hotel & Restaurant,restaurant,17.9959,79.5774
Bhadra Kali Temple,Hanumakonda,Telangana Grameena Bank ATM,atm,17.9932,79.5752
Bhadra Kali Temple,Hanumakonda,MGM Government Hospital,hospital,17.9964,79.5744
Jain Temple - Kolanupaka,Yadadri Bhuvanagiri,Hotel Sri Kanakadurga,restaurant,17.7097,78.9714
Jain Temple - Kolanupaka,Yadadri Bhuvanagiri,Union Bank of India ATM,atm,17.707,78.9692
Jain Temple - Kolanupaka,Yadadri Bhuvanagiri,Yadadri Community Health Center,hospital,17.7102,78.9684
Ramappa Temple,Mulugu,TSTDC Haritha Tourism Restaurant,restaurant,18.2608,79.9444
Ramappa Temple,Mulugu,State Bank of India (SBI) ATM,atm,18.2581,79.9422
Ramappa Temple,Mulugu,Government Primary Health Centre,hospital,18.2613,79.9414
Siddeswara Temple,Hanumakonda,Sri Kanya Comfort Restaurant,restaurant,18.0481,79.5751
Siddeswara Temple,Hanumakonda,Telangana Grameena Bank ATM,atm,18.0454,79.5729
Siddeswara Temple,Hanumakonda,MGM Government Hospital,hospital,18.0486,79.5721
Sri Veeranarayana Temple,Yadadri Bhuvanagiri,Sri Shyam Biryani Point,restaurant,17.7105,78.9727
Sri Veeranarayana Temple,Yadadri Bhuvanagiri,State Bank of India ATM Yadadri,atm,17.7078,78.9705
Sri Veeranarayana Temple,Yadadri Bhuvanagiri,Government Area Hospital Bhongir,hospital,17.711,78.9697
Musical Garden & Planeterium,Hanumakonda,Haritha Kakatiya Hotel,restaurant,18.0271,79.4961
Musical Garden & Planeterium,Hanumakonda,State Bank of India ATM,atm,18.0244,79.4939
Musical Garden & Planeterium,Hanumakonda,Rohini Super Speciality Hospital,hospital,18.0276,79.4931
Mallikarjuna Swamy Temple - Inavolu,Hanumakonda,Mourya Hotel & Dining,restaurant,17.9831,79.5511
Mallikarjuna Swamy Temple - Inavolu,Hanumakonda,Telangana Grameena Bank ATM,atm,17.9804,79.5489
Mallikarjuna Swamy Temple - Inavolu,Hanumakonda,MGM Government Hospital,hospital,17.9836,79.5481
Pakhal Lake & Wildlife Sanctuary,Warangal,Warangal Food Court,restaurant,17.9515,79.9812
Pakhal Lake & Wildlife Sanctuary,Warangal,Union Bank of India ATM,atm,17.9488,79.979
Pakhal Lake & Wildlife Sanctuary,Warangal,Rohini Hospital,hospital,17.952,79.9782
Bheemuni Paadam Waterfalls,Mahabubabad,TSTDC Haritha Tourism Restaurant,restaurant,17.4815,80.0212
Bheemuni Paadam Waterfalls,Mahabubabad,State Bank of India (SBI) ATM,atm,17.4788,80.019
Bheemuni Paadam Waterfalls,Mahabubabad,Government Primary Health Centre,hospital,17.482,80.0182
Laknavaram Lake,Mulugu,Sri Venkateswara Hotel & Dining,restaurant,18.1495,80.0615
Eturnagaram Sanctuary,Mulugu,Deccan Spice Restaurant,restaurant,18.3385,80.4297
Eturnagaram Sanctuary,Mulugu,State Bank of India (SBI) ATM,atm,18.3358,80.4275
Eturnagaram Sanctuary,Mulugu,Government Primary Health Centre,hospital,18.339,80.4267
Pandavula Guhalu,Jayashankar Bhupalpally,TSTDC Haritha Tourism Restaurant,restaurant,18.2575,79.7932
Pandavula Guhalu,Jayashankar Bhupalpally,Telangana Grameena Bank ATM,atm,18.2548,79.791
Pandavula Guhalu,Jayashankar Bhupalpally,Government Area Hospital,hospital,18.258,79.7902
Medaram,Mulugu,Sri Venkateswara Hotel & Dining,restaurant,18.3225,80.244
Medaram,Mulugu,State Bank of India (SBI) ATM,atm,18.3198,80.2418
Medaram,Mulugu,Government Primary Health Centre,hospital,18.323,80.241
Sri Someswara Temple - Kolanupaka,Yadadri Bhuvanagiri,Hotel Sri Kanakadurga,restaurant,17.709,78.971
Sri Someswara Temple - Kolanupaka,Yadadri Bhuvanagiri,Union Bank of India ATM,atm,17.7063,78.9688
Sri Someswara Temple - Kolanupaka,Yadadri Bhuvanagiri,Yadadri Community Health Center,hospital,17.7095,78.968
Charminar,Hyderabad,Minerva Coffee Room,restaurant,17.3631,78.4759
Charminar,Hyderabad,SBI ATM Main Branch,atm,17.3604,78.4737
Charminar,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.3636,78.4729
Chowmahalla Palace,Hyderabad,Exotica Restaurant,restaurant,17.3597,78.4729
Chowmahalla Palace,Hyderabad,HDFC Bank ATM,atm,17.357,78.4707
Chowmahalla Palace,Hyderabad,KIMS Hospital Secunderabad,hospital,17.3602,78.4699
Falaknuma Palace,Hyderabad,Nimrah Bakery & Cafe,restaurant,17.3323,78.4678
Falaknuma Palace,Hyderabad,ICICI Bank ATM,atm,17.3296,78.4656
Falaknuma Palace,Hyderabad,Yashoda Hospital Malakpet,hospital,17.3328,78.4648
Golkonda / Golconda Fort,Hyderabad,Shadab Hotel & Restaurant,restaurant,17.3848,78.4023
Golkonda / Golconda Fort,Hyderabad,Axis Bank ATM,atm,17.3821,78.4001
Golkonda / Golconda Fort,Hyderabad,Osmania General Hospital,hospital,17.3853,78.3993
Birla Temple,Hyderabad,Bavarchi Restaurant,restaurant,17.4077,78.4803
Birla Temple,Hyderabad,Union Bank of India ATM,atm,17.405,78.4781
Birla Temple,Hyderabad,NIMS Hospital Punjagutta,hospital,17.4082,78.4773
Qutub Shahi Tombs,Hyderabad,Chutneys Restaurant,restaurant,17.396964,78.397711
Qutub Shahi Tombs,Hyderabad,SBI ATM Main Branch,atm,17.394264,78.395511
Qutub Shahi Tombs,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.397464,78.394711
Buddha Statue,Hyderabad,Paradise Biryani,restaurant,17.404082,78.469366
Buddha Statue,Hyderabad,HDFC Bank ATM,atm,17.401382,78.467166
Buddha Statue,Hyderabad,KIMS Hospital Secunderabad,hospital,17.404582,78.466366
Lumbini Park,Hyderabad,Shah Ghouse Hotel,restaurant,17.4122,78.4756
Lumbini Park,Hyderabad,ICICI Bank ATM,atm,17.4095,78.4734
Lumbini Park,Hyderabad,Yashoda Hospital Malakpet,hospital,17.4127,78.4726
Nehru Zoological Park,Hyderabad,Minerva Coffee Room,restaurant,17.3518,78.4528
Nehru Zoological Park,Hyderabad,Axis Bank ATM,atm,17.3491,78.4506
Nehru Zoological Park,Hyderabad,Osmania General Hospital,hospital,17.3523,78.4498
Birla Planetarium & Science Museum,Hyderabad,Exotica Restaurant,restaurant,17.4055,78.4782
Birla Planetarium & Science Museum,Hyderabad,Union Bank of India ATM,atm,17.4028,78.476
Birla Planetarium & Science Museum,Hyderabad,NIMS Hospital Punjagutta,hospital,17.406,78.4752
Salar Jung Museum,Hyderabad,Nimrah Bakery & Cafe,restaurant,17.3729,78.4816
Salar Jung Museum,Hyderabad,SBI ATM Main Branch,atm,17.3702,78.4794
Salar Jung Museum,Hyderabad,Apollo Hospital Jubilee Hills,hospital,17.3734,78.4786
Ramoji Film City,Ranga Reddy,Deccan Spice Restaurant,restaurant,17.2558,78.6818
Ramoji Film City,Ranga Reddy,Telangana Grameena Bank ATM,atm,17.2531,78.6796
Ramoji Film City,Ranga Reddy,Government Area Hospital,hospital,17.2563,78.6788
Sri Rama Chandra Temple - Ammapalli,Ranga Reddy,TSTDC Haritha Tourism Restaurant,restaurant,17.2971,78.3853
Sri Rama Chandra Temple - Ammapalli,Ranga Reddy,State Bank of India (SBI) ATM,atm,17.2944,78.3831
Sri Rama Chandra Temple - Ammapalli,Ranga Reddy,Government Primary Health Centre,hospital,17.2976,78.3823
Anantagiri Hills,Vikarabad,Sri Venkateswara Hotel & Dining,restaurant,17.4174,77.8085
Anantagiri Hills,Vikarabad,Telangana Grameena Bank ATM,atm,17.4147,77.8063
Anantagiri Hills,Vikarabad,Government Area Hospital,hospital,17.4179,77.8055
Bugga Rameshwaram Temple - Anantagiri Hills,Vikarabad,Deccan Spice Restaurant,restaurant,17.4044,77.7255
Bugga Rameshwaram Temple - Anantagiri Hills,Vikarabad,State Bank of India (SBI) ATM,atm,17.4017,77.7233
Bugga Rameshwaram Temple - Anantagiri Hills,Vikarabad,Government Primary Health Centre,hospital,17.4049,77.7225
Wargal Saraswati Temple,Siddipet,TSTDC Haritha Tourism Restaurant,restaurant,17.7827,78.6317
Wargal Saraswati Temple,Siddipet,Telangana Grameena Bank ATM,atm,17.78,78.6295
Wargal Saraswati Temple,Siddipet,Government Area Hospital,hospital,17.7832,78.6287
Bhongir Fort,Yadadri Bhuvanagiri,TSTDC Haritha Hotel Yadadri,restaurant,17.5164,78.8936
Bhongir Fort,Yadadri Bhuvanagiri,State Bank of India ATM Yadadri,atm,17.5137,78.8914
Bhongir Fort,Yadadri Bhuvanagiri,Government Area Hospital Bhongir,hospital,17.5169,78.8906
Edupayala Vana Durga Bhavani Temple,Medak,Deccan Spice Restaurant,restaurant,17.964,78.1327
