Spot_Name,District,Category,Year,Month,Season,Festival,Total_Visitors
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,January,Winter,"Bhogi, Sankranti",19569
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,February,Winter,Maha Shivaratri,16658
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,March,Summer,Holi,10338
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",11196
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,May,Summer,Buddha Purnima,8483
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,June,Monsoon,None,6048
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,July,Monsoon,Bonalu,6810
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",7626
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,September,Monsoon,Vinayaka Chavithi,7396
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",15904
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,November,Winter,Diwali,17098
Sri Gnana Saraswathi Temple,Nirmal,religious,2024,December,Winter,Christmas,18520
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,January,Winter,"Bhogi, Sankranti",20871
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,February,Winter,Maha Shivaratri,16383
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,March,Summer,Holi,9882
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",10920
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,May,Summer,Buddha Purnima,8801
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,June,Monsoon,None,6713
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,July,Monsoon,Bonalu,6507
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",7371
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,September,Monsoon,Vinayaka Chavithi,8779
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",16534
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,November,Winter,Diwali,18967
Sri Gnana Saraswathi Temple,Nirmal,religious,2025,December,Winter,Christmas,19020
Vyasa Maharshi Cave,Nirmal,religious,2024,January,Winter,"Bhogi, Sankranti",18575
Vyasa Maharshi Cave,Nirmal,religious,2024,February,Winter,Maha Shivaratri,16867
Vyasa Maharshi Cave,Nirmal,religious,2024,March,Summer,Holi,9438
Vyasa Maharshi Cave,Nirmal,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",10599
Vyasa Maharshi Cave,Nirmal,religious,2024,May,Summer,Buddha Purnima,8326
Vyasa Maharshi Cave,Nirmal,religious,2024,June,Monsoon,None,6031
Vyasa Maharshi Cave,Nirmal,religious,2024,July,Monsoon,Bonalu,6121
Vyasa Maharshi Cave,Nirmal,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",8024
Vyasa Maharshi Cave,Nirmal,religious,2024,September,Monsoon,Vinayaka Chavithi,7568
Vyasa Maharshi Cave,Nirmal,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",14665
Vyasa Maharshi Cave,Nirmal,religious,2024,November,Winter,Diwali,18223
Vyasa Maharshi Cave,Nirmal,religious,2024,December,Winter,Christmas,17804
Vyasa Maharshi Cave,Nirmal,religious,2025,January,Winter,"Bhogi, Sankranti",20837
Vyasa Maharshi Cave,Nirmal,religious,2025,February,Winter,Maha Shivaratri,16341
Vyasa Maharshi Cave,Nirmal,religious,2025,March,Summer,Holi,10097
Vyasa Maharshi Cave,Nirmal,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",11347
Vyasa Maharshi Cave,Nirmal,religious,2025,May,Summer,Buddha Purnima,9612
Vyasa Maharshi Cave,Nirmal,religious,2025,June,Monsoon,None,6666
Vyasa Maharshi Cave,Nirmal,religious,2025,July,Monsoon,Bonalu,6777
Vyasa Maharshi Cave,Nirmal,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",7812
Vyasa Maharshi Cave,Nirmal,religious,2025,September,Monsoon,Vinayaka Chavithi,7575
Vyasa Maharshi Cave,Nirmal,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",16120
Vyasa Maharshi Cave,Nirmal,religious,2025,November,Winter,Diwali,18468
Vyasa Maharshi Cave,Nirmal,religious,2025,December,Winter,Christmas,21561
Godavari River & Bathing Ghat,Nirmal,other,2024,January,Winter,"Bhogi, Sankranti",9711
Godavari River & Bathing Ghat,Nirmal,other,2024,February,Winter,Maha Shivaratri,7648
Godavari River & Bathing Ghat,Nirmal,other,2024,March,Summer,Holi,5088
Godavari River & Bathing Ghat,Nirmal,other,2024,April,Summer,"Ugadi, Sri Rama Navami",5102
Godavari River & Bathing Ghat,Nirmal,other,2024,May,Summer,Buddha Purnima,4146
Godavari River & Bathing Ghat,Nirmal,other,2024,June,Monsoon,None,3154
Godavari River & Bathing Ghat,Nirmal,other,2024,July,Monsoon,Bonalu,3318
Godavari River & Bathing Ghat,Nirmal,other,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",3843
Godavari River & Bathing Ghat,Nirmal,other,2024,September,Monsoon,Vinayaka Chavithi,3628
Godavari River & Bathing Ghat,Nirmal,other,2024,October,Post-Monsoon,"Bathukamma, Dussehra",7622
Godavari River & Bathing Ghat,Nirmal,other,2024,November,Winter,Diwali,8897
Godavari River & Bathing Ghat,Nirmal,other,2024,December,Winter,Christmas,9943
Godavari River & Bathing Ghat,Nirmal,other,2025,January,Winter,"Bhogi, Sankranti",10064
Godavari River & Bathing Ghat,Nirmal,other,2025,February,Winter,Maha Shivaratri,8974
Godavari River & Bathing Ghat,Nirmal,other,2025,March,Summer,Holi,5108
Godavari River & Bathing Ghat,Nirmal,other,2025,April,Summer,"Ugadi, Sri Rama Navami",5282
Godavari River & Bathing Ghat,Nirmal,other,2025,May,Summer,Buddha Purnima,4823
Godavari River & Bathing Ghat,Nirmal,other,2025,June,Monsoon,None,3529
Godavari River & Bathing Ghat,Nirmal,other,2025,July,Monsoon,Bonalu,3396
Godavari River & Bathing Ghat,Nirmal,other,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",4165
Godavari River & Bathing Ghat,Nirmal,other,2025,September,Monsoon,Vinayaka Chavithi,4164
Godavari River & Bathing Ghat,Nirmal,other,2025,October,Post-Monsoon,"Bathukamma, Dussehra",8091
Godavari River & Bathing Ghat,Nirmal,other,2025,November,Winter,Diwali,9623
Godavari River & Bathing Ghat,Nirmal,other,2025,December,Winter,Christmas,11027
Lord Shiva Temple,Nirmal,religious,2024,January,Winter,"Bhogi, Sankranti",19060
Lord Shiva Temple,Nirmal,religious,2024,February,Winter,Maha Shivaratri,18086
Lord Shiva Temple,Nirmal,religious,2024,March,Summer,Holi,8702
Lord Shiva Temple,Nirmal,religious,2024,April,Summer,"Ugadi, Sri Rama Navami",10832
Lord Shiva Temple,Nirmal,religious,2024,May,Summer,Buddha Purnima,8621
Lord Shiva Temple,Nirmal,religious,2024,June,Monsoon,None,6029
Lord Shiva Temple,Nirmal,religious,2024,July,Monsoon,Bonalu,6340
Lord Shiva Temple,Nirmal,religious,2024,August,Monsoon,"Independence Day, Krishna Janmashtami",6614
Lord Shiva Temple,Nirmal,religious,2024,September,Monsoon,Vinayaka Chavithi,7490
Lord Shiva Temple,Nirmal,religious,2024,October,Post-Monsoon,"Bathukamma, Dussehra",15760
Lord Shiva Temple,Nirmal,religious,2024,November,Winter,Diwali,18797
Lord Shiva Temple,Nirmal,religious,2024,December,Winter,Christmas,18470
Lord Shiva Temple,Nirmal,religious,2025,January,Winter,"Bhogi, Sankranti",19788
Lord Shiva Temple,Nirmal,religious,2025,February,Winter,Maha Shivaratri,17661
Lord Shiva Temple,Nirmal,religious,2025,March,Summer,Holi,11310
Lord Shiva Temple,Nirmal,religious,2025,April,Summer,"Ugadi, Sri Rama Navami",11421
Lord Shiva Temple,Nirmal,religious,2025,May,Summer,Buddha Purnima,9024
Lord Shiva Temple,Nirmal,religious,2025,June,Monsoon,None,6779
Lord Shiva Temple,Nirmal,religious,2025,July,Monsoon,Bonalu,6849
Lord Shiva Temple,Nirmal,religious,2025,August,Monsoon,"Independence Day, Krishna Janmashtami",8316
Lord Shiva Temple,Nirmal,religious,2025,September,Monsoon,Vinayaka Chavithi,7892
Lord Shiva Temple,Nirmal,religious,2025,October,Post-Monsoon,"Bathukamma, Dussehra",16448
Lord Shiva Temple,Nirmal,religious,2025,November,Winter,Diwali,18533
Lord Shiva Temple,Nirmal,religious,2025,December,Winter,Christmas,18980
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,January,Winter,"Bhogi, Sankranti",11348
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,February,Winter,Maha Shivaratri,9951
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,March,Summer,Holi,5866
Ashok Sagar / Jankampet Lake,Nizamabad,leisure,2024,April,Summer,"Ugadi, Sri Rama Navami",6021
